state,state_legislative_district_upper_chamber,race_white,race_black,race_asian
17,001,99910,13582,30102
17,002,137583,13884,6791
17,003,80383,103584,18739
17,004,85164,104569,5741
17,005,80744,109805,14816
17,006,195702,8615,15647
17,007,142003,37942,24409
17,008,139459,13526,52600
17,009,164524,14961,30026
17,010,183282,3480,18018
17,011,129590,12404,4233
17,012,122530,9172,2834
17,013,84497,117032,14678
17,014,81394,114726,2067
17,015,71828,132100,2285
17,016,81697,107590,2331
17,017,70014,133945,912
17,018,165022,35647,5974
17,019,145785,62272,5201
17,020,146465,7966,13439
17,021,175916,8841,24632
17,022,123819,12452,25268
17,023,160037,10672,31651
17,024,186164,7311,22647
17,025,186896,8821,14313
17,026,186610,3334,18596
17,027,172219,4549,23657
17,028,163476,7180,31563
17,029,167104,5947,21179
17,030,135263,24782,23320
17,031,170138,16849,13162
17,032,203542,2902,2905
17,033,196534,5962,15280
17,034,155801,35290,5709
17,035,187392,10049,4910
17,036,180319,15774,4080
17,037,195257,4450,6340
17,038,198567,5833,2194
17,039,138299,31496,6993
17,040,142101,57482,1722
17,044,193987,10679,3580
17,041,185762,7841,18776
17,042,126237,23094,18765
17,043,133455,37904,7280
17,045,193519,7847,1363
17,046,166816,32923,2389
17,047,189998,10820,2170
17,048,170423,29566,1437
17,049,168802,22249,15737
17,050,193580,12443,3505
17,051,205054,4254,3772
17,052,153879,36521,20165
17,053,190556,11162,7733
17,054,200092,6900,2024
17,055,200234,5351,1415
17,056,186801,19044,2574
17,057,121699,75300,2341
17,058,186658,18725,2948
17,059,188603,14724,1884
17,ZZZ,0,0,0
